NETWORK_SID,DATETIME_KEY,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
1267185105,1/21/2021 5:15:00 AM,SOEM1,17657,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-TET09.1,AMM 6PC,-47.0,339c,329b,1/5+,1
1267185105,1/21/2021 5:15:00 AM,SOEM1,17657,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-TET09.1,AMM 6PC,-50.4,339b,338c,1/3+,1
1267185105,1/21/2021 5:15:00 AM,SOEM1,17657,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-TET09.1,AMM 6PC,-42.0,339c,329b,1/4+,1
66099545,1/21/2021 5:15:00 AM,SOEM1,17661,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0954.1,AMM 2PB,-39.5,B54a,B39d,1/2+,1
2015724042,1/21/2021 5:15:00 AM,SOEM1,17508,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2840.1,AMM 2PB,-49.8,m40b,mT2h,1/3+,1
324662849,1/21/2021 5:15:00 AM,SOEM1,17701,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-OU3028.1,AMM 2PB,-43.2,Y28c,Y43c,1/2+,1
149030171,1/21/2021 5:15:00 AM,SOEM1,17704,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AI4459.1,AMM 2PB,0.0,a59b,a00b,1/2+,1
149030171,1/21/2021 5:15:00 AM,SOEM1,17704,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AI4459.1,AMM 2PB,0.0,a59c,a74a,1/3+,1
308408239,1/21/2021 5:15:00 AM,SOEM1,17669,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN-BI0715-TN2.1,AMM 20PB,-35.4,P15b,P19b,1/17+,1
308408239,1/21/2021 5:15:00 AM,SOEM1,17669,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-BI0715-TN2.1,AMM 20PB,-35.4,P15a,P19a,1/16+,1
308408239,1/21/2021 5:15:00 AM,SOEM1,17669,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-BI0715-TN2.1,AMM 20PB,-37.6,P15t,P09t,1/15+,1
